"","midptage","age","sex","location","cause","avgIR","avgCF","year"
"47",47,"45 to 49","Male","Global","Ischemic heart disease",0.0008436314392714,0.0390019230189381,2019
"48",47,"45 to 49","Male","Global","Ischemic stroke",7.43726112402757e-05,0.0108516967455044,2019
"49",52,"50 to 54","Female","Global","Hypertensive heart disease",8.27601124852869e-05,0.0418529696486643,2019
"50",52,"50 to 54","Female","Global","Intracerebral hemorrhage",0.000344770527222169,0.0656699089436787,2019
"51",52,"50 to 54","Female","Global","Ischemic heart disease",0.000569174501339568,0.0250553788377434,2019
"52",52,"50 to 54","Female","Global","Ischemic stroke",8.32177336031953e-05,0.00695158311344015,2019
"53",52,"50 to 54","Male","Global","Hypertensive heart disease",0.000105010966615209,0.0419633115277131,2019
"54",52,"50 to 54","Male","Global","Intracerebral hemorrhage",0.000551200617242206,0.082832747720535,2019
"55",52,"50 to 54","Male","Global","Ischemic heart disease",0.00148905567001315,0.0376926575339002,2019
"56",52,"50 to 54","Male","Global","Ischemic stroke",0.000159418701325132,0.0146465509352265,2019
"57",57,"55 to 59","Female","Global","Hypertensive heart disease",0.000136964608183305,0.0532847206987569,2019
"58",57,"55 to 59","Female","Global","Intracerebral hemorrhage",0.000523477798726122,0.07585330400214,2019
"59",57,"55 to 59","Female","Global","Ischemic heart disease",0.000952166487072246,0.0252669994274273,2019
"60",57,"55 to 59","Female","Global","Ischemic stroke",0.000155815496214283,0.00823570395225278,2019
"61",57,"55 to 59","Male","Global","Hypertensive heart disease",0.000172643467959784,0.0525075564076601,2019
"62",57,"55 to 59","Male","Global","Intracerebral hemorrhage",0.000869734017893596,0.0959713769682769,2019
"63",57,"55 to 59","Male","Global","Ischemic heart disease",0.0024263404947674,0.0348686975160419,2019
"64",57,"55 to 59","Male","Global","Ischemic stroke",0.000316124254445253,0.0174778077555729,2019
"65",62,"60 to 64","Female","Global","Hypertensive heart disease",0.000230198269345965,0.05436057853988,2019
"66",62,"60 to 64","Female","Global","Intracerebral hemorrhage",0.000841501959207327,0.103700494905271,2019
"67",62,"60 to 64","Female","Global","Ischemic heart disease",0.00171154079281092,0.0281349024608684,2019
"68",62,"60 to 64","Female","Global","Ischemic stroke",0.000429088811425857,0.0146380327027937,2019
"69",62,"60 to 64","Male","Global","Hypertensive heart disease",0.000291844017170698,0.0545937217459999,2019
"70",62,"60 to 64","Male","Global","Intracerebral hemorrhage",0.0013375182862435,0.123151209813637,2019
"71",62,"60 to 64","Male","Global","Ischemic heart disease",0.00379275985883412,0.0335156480895498,2019
"72",62,"60 to 64","Male","Global","Ischemic stroke",0.0008118423609028,0.0287622881925765,2019
"73",67,"65 to 69","Female","Global","Hypertensive heart disease",0.000399844976257618,0.0421180158562994,2019
"74",67,"65 to 69","Female","Global","Intracerebral hemorrhage",0.0013497339382639,0.166130357816338,2019
"75",67,"65 to 69","Female","Global","Ischemic heart disease",0.00289113462053005,0.0291015899445505,2019
"76",67,"65 to 69","Female","Global","Ischemic stroke",0.00081516702603905,0.018804634588543,2019
"77",67,"65 to 69","Male","Global","Hypertensive heart disease",0.00045589414309143,0.0396793999907323,2019
"78",67,"65 to 69","Male","Global","Intracerebral hemorrhage",0.00199125512991324,0.188569600875634,2019
"79",67,"65 to 69","Male","Global","Ischemic heart disease",0.0057172318467493,0.0307680291117997,2019
"80",67,"65 to 69","Male","Global","Ischemic stroke",0.00141864435923413,0.0353784474208889,2019
"81",72,"70 to 74","Female","Global","Hypertensive heart disease",0.000770350074878421,0.0484043750407303,2019
"82",72,"70 to 74","Female","Global","Intracerebral hemorrhage",0.00194827542195384,0.261420784001627,2019
"83",72,"70 to 74","Female","Global","Ischemic heart disease",0.00549310889285191,0.0371329510012635,2019
"84",72,"70 to 74","Female","Global","Ischemic stroke",0.00212044179063642,0.0348396460943056,2019
"85",72,"70 to 74","Male","Global","Hypertensive heart disease",0.000807556520406942,0.042705046435394,2019
"86",72,"70 to 74","Male","Global","Intracerebral hemorrhage",0.00282469270033297,0.311612703761616,2019
"87",72,"70 to 74","Male","Global","Ischemic heart disease",0.00963078459401842,0.0358538238079357,2019
"88",72,"70 to 74","Male","Global","Ischemic stroke",0.00301056912338513,0.0562081648105136,2019
"89",77,"75 to 79","Female","Global","Hypertensive heart disease",0.00140731757315956,0.0640021475198394,2019
"90",77,"75 to 79","Female","Global","Intracerebral hemorrhage",0.00315844935671648,0.485584992933324,2019
"91",77,"75 to 79","Female","Global","Ischemic heart disease",0.0108300343733884,0.0501270914672164,2019
"92",77,"75 to 79","Female","Global","Ischemic stroke",0.00441057073197765,0.0548167941653733,2019
"93",77,"75 to 79","Male","Global","Hypertensive heart disease",0.00145662642477477,0.0573454503108621,2019
"94",77,"75 to 79","Male","Global","Intracerebral hemorrhage",0.0044957240084531,0.631047031745846,2019
"95",77,"75 to 79","Male","Global","Ischemic heart disease",0.0175271231814451,0.0469690846295955,2019
"96",77,"75 to 79","Male","Global","Ischemic stroke",0.00576096079751554,0.0845675219870233,2019
"97",82,"80 to 84","Female","Global","Hypertensive heart disease",0.00287960338064557,0.0924617736413729,2019
"98",82,"80 to 84","Female","Global","Intracerebral hemorrhage",0.00432424582291611,0.704626415860129,2019
"99",82,"80 to 84","Female","Global","Ischemic heart disease",0.0212623966953342,0.0777590707875785,2019
"100",82,"80 to 84","Female","Global","Ischemic stroke",0.00946329877296869,0.09638030648275,2019
"101",82,"80 to 84","Male","Global","Hypertensive heart disease",0.00282557145381319,0.0853046087332717,2019
"102",82,"80 to 84","Male","Global","Intracerebral hemorrhage",0.00589525391638977,0.99,2019
"103",82,"80 to 84","Male","Global","Ischemic heart disease",0.0331734642436068,0.0691184954088925,2019
"104",82,"80 to 84","Male","Global","Ischemic stroke",0.0111922385665138,0.142492165870164,2019
"105",87,"85 to 89","Female","Global","Hypertensive heart disease",0.00501751824332155,0.106577300602443,2019
"106",87,"85 to 89","Female","Global","Intracerebral hemorrhage",0.00587388514967362,0.947050974558516,2019
"107",87,"85 to 89","Female","Global","Ischemic heart disease",0.0391400647385545,0.124005997768788,2019
"108",87,"85 to 89","Female","Global","Ischemic stroke",0.0162899679107392,0.159590581221196,2019
"109",87,"85 to 89","Male","Global","Hypertensive heart disease",0.00532774114403085,0.119322988659767,2019
"110",87,"85 to 89","Male","Global","Intracerebral hemorrhage",0.00888244210723648,0.99,2019
"111",87,"85 to 89","Male","Global","Ischemic heart disease",0.0637822493363892,0.111465026540818,2019
"112",87,"85 to 89","Male","Global","Ischemic stroke",0.0191121131228087,0.252433844645918,2019
"113",92,"90 to 94","Female","Global","Hypertensive heart disease",0.00949285598221284,0.141536242747552,2019
"114",92,"90 to 94","Female","Global","Intracerebral hemorrhage",0.00778606067860976,0.99,2019
"115",92,"90 to 94","Female","Global","Ischemic heart disease",0.0680428001050621,0.202770592982307,2019
"116",92,"90 to 94","Female","Global","Ischemic stroke",0.025659552309461,0.241271472320975,2019
"117",92,"90 to 94","Male","Global","Hypertensive heart disease",0.00771764765791019,0.14191895101482,2019
"118",92,"90 to 94","Male","Global","Intracerebral hemorrhage",0.00852089515939169,0.99,2019
"119",92,"90 to 94","Male","Global","Ischemic heart disease",0.0964370223376592,0.169005863881864,2019
"120",92,"90 to 94","Male","Global","Ischemic stroke",0.0246213475633153,0.343434213251448,2019
"121",22,"20 to 24","Female","Global","Hypertensive heart disease",1.83916963518286e-06,0.107257570922292,2018
"122",22,"20 to 24","Female","Global","Intracerebral hemorrhage",1.19605396650578e-05,0.0143683483696539,2018
"123",22,"20 to 24","Female","Global","Ischemic heart disease",2.25151516500502e-05,0.0568998756922514,2018
"124",22,"20 to 24","Female","Global","Ischemic stroke",2.79162468386134e-06,0.00119331642942291,2018
"125",22,"20 to 24","Male","Global","Hypertensive heart disease",1.96479463909111e-06,0.0906335929027191,2018
"126",22,"20 to 24","Male","Global","Intracerebral hemorrhage",1.99707436642437e-05,0.0314407775648633,2018
"127",22,"20 to 24","Male","Global","Ischemic heart disease",4.03493593055252e-05,0.0955297153933964,2018
"128",22,"20 to 24","Male","Global","Ischemic stroke",3.37792475371859e-06,0.00207562441646733,2018
"129",27,"25 to 29","Female","Global","Hypertensive heart disease",3.39844426781402e-06,0.053679560851722,2018
"130",27,"25 to 29","Female","Global","Intracerebral hemorrhage",1.65349798221809e-05,0.0150611788131283,2018
"131",27,"25 to 29","Female","Global","Ischemic heart disease",3.23570453809447e-05,0.0286751090969239,2018
"132",27,"25 to 29","Female","Global","Ischemic stroke",3.72863601590758e-06,0.00132688508126778,2018
"133",27,"25 to 29","Male","Global","Hypertensive heart disease",3.8104162530173e-06,0.0446088250558876,2018
"134",27,"25 to 29","Male","Global","Intracerebral hemorrhage",2.80430612343018e-05,0.0313710740482888,2018
"135",27,"25 to 29","Male","Global","Ischemic heart disease",7.22235104477978e-05,0.0546233643110818,2018
"136",27,"25 to 29","Male","Global","Ischemic stroke",4.80811428738664e-06,0.00241325366357026,2018
"137",32,"30 to 34","Female","Global","Hypertensive heart disease",6.58653728787089e-06,0.0496958146487673,2018
"138",32,"30 to 34","Female","Global","Intracerebral hemorrhage",2.70667853157889e-05,0.0185161024642266,2018
"139",32,"30 to 34","Female","Global","Ischemic heart disease",5.85426862579461e-05,0.0245780182228115,2018
"140",32,"30 to 34","Female","Global","Ischemic stroke",6.07506650985405e-06,0.00175590957235991,2018
"141",32,"30 to 34","Male","Global","Hypertensive heart disease",8.05906765307002e-06,0.0444249967223077,2018
"142",32,"30 to 34","Male","Global","Intracerebral hemorrhage",4.9568948702941e-05,0.0387618165252731,2018
"143",32,"30 to 34","Male","Global","Ischemic heart disease",0.000147558653689831,0.0498711034600391,2018
"144",32,"30 to 34","Male","Global","Ischemic stroke",8.05095689060886e-06,0.00318532068579656,2018
"145",37,"35 to 39","Female","Global","Hypertensive heart disease",1.2471464707985e-05,0.0554468565391584,2018
"146",37,"35 to 39","Female","Global","Intracerebral hemorrhage",5.17559477346896e-05,0.0264809613737344,2018
"147",37,"35 to 39","Female","Global","Ischemic heart disease",9.88618203457954e-05,0.0224427611046779,2018
"148",37,"35 to 39","Female","Global","Ischemic stroke",1.06241899386609e-05,0.00241919388155865,2018
"149",37,"35 to 39","Male","Global","Hypertensive heart disease",1.52194161226654e-05,0.0515149950041352,2018
"150",37,"35 to 39","Male","Global","Intracerebral hemorrhage",9.2121350761342e-05,0.0482054447880416,2018
"151",37,"35 to 39","Male","Global","Ischemic heart disease",0.000264375234160997,0.045158770120219,2018
"152",37,"35 to 39","Male","Global","Ischemic stroke",1.44957575970244e-05,0.00435374581259114,2018
"153",42,"40 to 44","Female","Global","Hypertensive heart disease",2.27887147596536e-05,0.0500563220081315,2018
"154",42,"40 to 44","Female","Global","Intracerebral hemorrhage",9.99700371757015e-05,0.0378078340071539,2018
"155",42,"40 to 44","Female","Global","Ischemic heart disease",0.000180963059784076,0.0227764070611783,2018
"156",42,"40 to 44","Female","Global","Ischemic stroke",2.10581580102634e-05,0.0036603443008662,2018
"157",42,"40 to 44","Male","Global","Hypertensive heart disease",3.11240051595482e-05,0.0525561378037069,2018
"158",42,"40 to 44","Male","Global","Intracerebral hemorrhage",0.000186389928135375,0.0643162197539599,2018
"159",42,"40 to 44","Male","Global","Ischemic heart disease",0.000482944074900056,0.0425639708569492,2018
"160",42,"40 to 44","Male","Global","Ischemic stroke",3.0655592592958e-05,0.00669180279734585,2018
"161",47,"45 to 49","Female","Global","Hypertensive heart disease",4.36246782368676e-05,0.0377910134527515,2018
"162",47,"45 to 49","Female","Global","Intracerebral hemorrhage",0.000190367655027655,0.05079243059318,2018
"163",47,"45 to 49","Female","Global","Ischemic heart disease",0.000313590726134565,0.0228285406047694,2018
"164",47,"45 to 49","Female","Global","Ischemic stroke",4.02603954120646e-05,0.00500115063744982,2018
"165",47,"45 to 49","Male","Global","Hypertensive heart disease",5.80842608605121e-05,0.0396169727966302,2018
"166",47,"45 to 49","Male","Global","Intracerebral hemorrhage",0.000344372473678872,0.0763839825515442,2018
"167",47,"45 to 49","Male","Global","Ischemic heart disease",0.000883495696397531,0.040938491594395,2018
"168",47,"45 to 49","Male","Global","Ischemic stroke",7.70159500015653e-05,0.0111692159123321,2018
"169",52,"50 to 54","Female","Global","Hypertensive heart disease",8.1863868073227e-05,0.0421019188142593,2018
"170",52,"50 to 54","Female","Global","Intracerebral hemorrhage",0.000340680606550767,0.0640320921769261,2018
"171",52,"50 to 54","Female","Global","Ischemic heart disease",0.000552253347170728,0.0245292926614073,2018
"172",52,"50 to 54","Female","Global","Ischemic stroke",8.21940269356335e-05,0.00684455230491121,2018
"173",52,"50 to 54","Male","Global","Hypertensive heart disease",0.000105373246819931,0.0425757711065214,2018
"174",52,"50 to 54","Male","Global","Intracerebral hemorrhage",0.000563245596165525,0.084277630019755,2018
"175",52,"50 to 54","Male","Global","Ischemic heart disease",0.00153134432750233,0.0388371119224663,2018
"176",52,"50 to 54","Male","Global","Ischemic stroke",0.000160784263467122,0.0146324895660244,2018
"177",57,"55 to 59","Female","Global","Hypertensive heart disease",0.000135387432029392,0.0521408615982441,2018
"178",57,"55 to 59","Female","Global","Intracerebral hemorrhage",0.000528879552002815,0.0762040684604327,2018
"179",57,"55 to 59","Female","Global","Ischemic heart disease",0.000938294421652241,0.0248761128360018,2018
"180",57,"55 to 59","Female","Global","Ischemic stroke",0.00015760021935422,0.00832101937633986,2018
"181",57,"55 to 59","Male","Global","Hypertensive heart disease",0.000172409832309141,0.0517593294422166,2018
"182",57,"55 to 59","Male","Global","Intracerebral hemorrhage",0.000900794569192825,0.0988246896900934,2018
"183",57,"55 to 59","Male","Global","Ischemic heart disease",0.00245928561009688,0.0355281452316019,2018
"184",57,"55 to 59","Male","Global","Ischemic stroke",0.000322467716232192,0.017753366711837,2018
"185",62,"60 to 64","Female","Global","Hypertensive heart disease",0.000231229359720112,0.0552311099502885,2018
"186",62,"60 to 64","Female","Global","Intracerebral hemorrhage",0.00086436826963501,0.105557045128262,2018
"187",62,"60 to 64","Female","Global","Ischemic heart disease",0.00173889519948978,0.0287579842606249,2018
"188",62,"60 to 64","Female","Global","Ischemic stroke",0.000435738629060809,0.0149751667410009,2018
"189",62,"60 to 64","Male","Global","Hypertensive heart disease",0.000291011181135865,0.0547002935293716,2018
"190",62,"60 to 64","Male","Global","Intracerebral hemorrhage",0.00137872858082332,0.126553611614085,2018
"191",62,"60 to 64","Male","Global","Ischemic heart disease",0.00386208917718863,0.0342479790601432,2018
"192",62,"60 to 64","Male","Global","Ischemic stroke",0.00082086811898967,0.0291398966548925,2018
"193",67,"65 to 69","Female","Global","Hypertensive heart disease",0.00041024231531417,0.0434278065827614,2018
"194",67,"65 to 69","Female","Global","Intracerebral hemorrhage",0.00142274428509073,0.172062271587423,2018
"195",67,"65 to 69","Female","Global","Ischemic heart disease",0.00298896572690355,0.0302074240232083,2018
"196",67,"65 to 69","Female","Global","Ischemic stroke",0.000829670067620868,0.0193682274655639,2018
"197",67,"65 to 69","Male","Global","Hypertensive heart disease",0.000458029212058835,0.0399722446300097,2018
"198",67,"65 to 69","Male","Global","Intracerebral hemorrhage",0.00208253207782887,0.195942528067653,2018
"199",67,"65 to 69","Male","Global","Ischemic heart disease",0.00587064898871834,0.03144893205713,2018
"200",67,"65 to 69","Male","Global","Ischemic stroke",0.00143467654008474,0.0360479327610019,2018
"201",72,"70 to 74","Female","Global","Hypertensive heart disease",0.000779545511607099,0.0493071155202578,2018
"202",72,"70 to 74","Female","Global","Intracerebral hemorrhage",0.00203060378563318,0.269467990084071,2018
"203",72,"70 to 74","Female","Global","Ischemic heart disease",0.00579980271702695,0.0386967763103832,2018
"204",72,"70 to 74","Female","Global","Ischemic stroke",0.00222173763580837,0.0367369563740965,2018
"205",72,"70 to 74","Male","Global","Hypertensive heart disease",0.000811073086124668,0.0427786181033463,2018
"206",72,"70 to 74","Male","Global","Intracerebral hemorrhage",0.00295192316872861,0.322561853182201,2018
"207",72,"70 to 74","Male","Global","Ischemic heart disease",0.0101357029723769,0.0374856397490566,2018
"208",72,"70 to 74","Male","Global","Ischemic stroke",0.00312987624901948,0.0584511216778259,2018
"209",77,"75 to 79","Female","Global","Hypertensive heart disease",0.00140928439875264,0.0637214733574552,2018
"210",77,"75 to 79","Female","Global","Intracerebral hemorrhage",0.00327287661863833,0.4945864874339,2018
"211",77,"75 to 79","Female","Global","Ischemic heart disease",0.0108947881647531,0.0506930632470881,2018
"212",77,"75 to 79","Female","Global","Ischemic stroke",0.0044591560868896,0.0556323856584278,2018
"213",77,"75 to 79","Male","Global","Hypertensive heart disease",0.00144837930991874,0.0566731435573822,2018
"214",77,"75 to 79","Male","Global","Intracerebral hemorrhage",0.00469032853070515,0.649366172180313,2018
"215",77,"75 to 79","Male","Global","Ischemic heart disease",0.0178017462809925,0.0476857439559866,2018
"216",77,"75 to 79","Male","Global","Ischemic stroke",0.00585004434815878,0.0860044928558901,2018
"217",82,"80 to 84","Female","Global","Hypertensive heart disease",0.00281447622622513,0.0911350283743799,2018
"218",82,"80 to 84","Female","Global","Intracerebral hemorrhage",0.00440627918660892,0.708012192893134,2018
"219",82,"80 to 84","Female","Global","Ischemic heart disease",0.0215434266749463,0.0783634691673705,2018
"220",82,"80 to 84","Female","Global","Ischemic stroke",0.00960810838296013,0.099083540482898,2018
"221",82,"80 to 84","Male","Global","Hypertensive heart disease",0.00273194385623676,0.0829212660061081,2018
"222",82,"80 to 84","Male","Global","Intracerebral hemorrhage",0.00592519632648312,0.99,2018
"223",82,"80 to 84","Male","Global","Ischemic heart disease",0.0331947400537442,0.0687628681538795,2018
"224",82,"80 to 84","Male","Global","Ischemic stroke",0.0111287121581496,0.142832670442094,2018
"225",87,"85 to 89","Female","Global","Hypertensive heart disease",0.0049875065710255,0.105810392674459,2018
"226",87,"85 to 89","Female","Global","Intracerebral hemorrhage",0.00605189649825253,0.967996222182897,2018
"227",87,"85 to 89","Female","Global","Ischemic heart disease",0.039725926873688,0.12626915212104,2018
"228",87,"85 to 89","Female","Global","Ischemic stroke",0.0164924060189297,0.162781661532314,2018
"229",87,"85 to 89","Male","Global","Hypertensive heart disease",0.00527775869775238,0.117664586268106,2018
"230",87,"85 to 89","Male","Global","Intracerebral hemorrhage",0.0092363519828551,0.99,2018
"231",87,"85 to 89","Male","Global","Ischemic heart disease",0.0646387203732217,0.113085719309774,2018
"232",87,"85 to 89","Male","Global","Ischemic stroke",0.0193169799591467,0.254424176508768,2018
"233",92,"90 to 94","Female","Global","Hypertensive heart disease",0.00944089432679775,0.14026047341868,2018
"234",92,"90 to 94","Female","Global","Intracerebral hemorrhage",0.00802597371547014,0.99,2018
"235",92,"90 to 94","Female","Global","Ischemic heart disease",0.0685867350183564,0.205078988040221,2018
"236",92,"90 to 94","Female","Global","Ischemic stroke",0.0258419180166116,0.244477131521514,2018
"237",92,"90 to 94","Male","Global","Hypertensive heart disease",0.00780901747879895,0.141717843002907,2018
"238",92,"90 to 94","Male","Global","Intracerebral hemorrhage",0.00896329108079219,0.99,2018
"239",92,"90 to 94","Male","Global","Ischemic heart disease",0.0987688828670077,0.171873984438849,2018
"240",92,"90 to 94","Male","Global","Ischemic stroke",0.0251129040523711,0.347950944065651,2018
"241",22,"20 to 24","Female","Global","Hypertensive heart disease",1.87663503688134e-06,0.108470481151878,2017
"242",22,"20 to 24","Female","Global","Intracerebral hemorrhage",1.24743313318086e-05,0.0148310961048472,2017
"243",22,"20 to 24","Female","Global","Ischemic heart disease",2.3509378983981e-05,0.0590229452173563,2017
"244",22,"20 to 24","Female","Global","Ischemic stroke",2.8914111468912e-06,0.00122611642260128,2017
"245",22,"20 to 24","Male","Global","Hypertensive heart disease",1.95466973821858e-06,0.0894935854134065,2017
"246",22,"20 to 24","Male","Global","Intracerebral hemorrhage",2.02382629173568e-05,0.0317306482539819,2017
"247",22,"20 to 24","Male","Global","Ischemic heart disease",4.10669427538571e-05,0.097145044543886,2017
"248",22,"20 to 24","Male","Global","Ischemic stroke",3.39607131147289e-06,0.00206936884854389,2017
"249",27,"25 to 29","Female","Global","Hypertensive heart disease",3.46831898228964e-06,0.0549088641253395,2017
"250",27,"25 to 29","Female","Global","Intracerebral hemorrhage",1.71196320314173e-05,0.0152812727273665,2017
"251",27,"25 to 29","Female","Global","Ischemic heart disease",3.33938203883275e-05,0.0297666076782341,2017
"252",27,"25 to 29","Female","Global","Ischemic stroke",3.82988190843591e-06,0.00135082478863413,2017
"253",27,"25 to 29","Male","Global","Hypertensive heart disease",3.80547716742683e-06,0.044416316381009,2017
"254",27,"25 to 29","Male","Global","Intracerebral hemorrhage",2.84086927549498e-05,0.0314046088612146,2017
"255",27,"25 to 29","Male","Global","Ischemic heart disease",7.3696697828968e-05,0.0560473836456469,2017
"256",27,"25 to 29","Male","Global","Ischemic stroke",4.85117067646134e-06,0.00240581852323186,2017
"257",32,"30 to 34","Female","Global","Hypertensive heart disease",6.64664562399673e-06,0.0500453521508676,2017
"258",32,"30 to 34","Female","Global","Intracerebral hemorrhage",2.77565891299231e-05,0.0186823850115927,2017
"259",32,"30 to 34","Female","Global","Ischemic heart disease",5.92734044691561e-05,0.0249416600646889,2017
"260",32,"30 to 34","Female","Global","Ischemic stroke",6.14473296695888e-06,0.00176378224399084,2017
"261",32,"30 to 34","Male","Global","Hypertensive heart disease",8.04231854575547e-06,0.0440702736259201,2017
"262",32,"30 to 34","Male","Global","Intracerebral hemorrhage",5.04318322040577e-05,0.03905613747758,2017
"263",32,"30 to 34","Male","Global","Ischemic heart disease",0.000149982274764427,0.0508585251220495,2017
"264",32,"30 to 34","Male","Global","Ischemic stroke",8.11028146881432e-06,0.00318048691748611,2017
"265",37,"35 to 39","Female","Global","Hypertensive heart disease",1.23606652608824e-05,0.0545255851526377,2017
"266",37,"35 to 39","Female","Global","Intracerebral hemorrhage",5.25060856266832e-05,0.0265663465295673,2017
"267",37,"35 to 39","Female","Global","Ischemic heart disease",9.7451879744113e-05,0.0220588477563722,2017
"268",37,"35 to 39","Female","Global","Ischemic stroke",1.06462220998088e-05,0.00241652639573194,2017
"269",37,"35 to 39","Male","Global","Hypertensive heart disease",1.50973586180637e-05,0.0506079402595027,2017
"270",37,"35 to 39","Male","Global","Intracerebral hemorrhage",9.38844389050993e-05,0.0488075671130536,2017
"271",37,"35 to 39","Male","Global","Ischemic heart disease",0.000266626561828613,0.045514573691421,2017
"272",37,"35 to 39","Male","Global","Ischemic stroke",1.4531798833106e-05,0.00434372409827483,2017
"273",42,"40 to 44","Female","Global","Hypertensive heart disease",2.26493861975375e-05,0.0495481229863174,2017
"274",42,"40 to 44","Female","Global","Intracerebral hemorrhage",0.000101569150312773,0.037912009711691,2017
"275",42,"40 to 44","Female","Global","Ischemic heart disease",0.000177963068588483,0.022395404675573,2017
"276",42,"40 to 44","Female","Global","Ischemic stroke",2.11368247630715e-05,0.00366314359518996,2017
"277",42,"40 to 44","Male","Global","Hypertensive heart disease",3.08960223182607e-05,0.0518390324907262,2017
